Treatment,Replication,precount,10 DAS,20 Das,50 DAS
water,1,6,9.25,14.75,7.75
water,2,5.5,5.5,5.25,5.75
water,3,8.25,5.5,8.75,5.25
water,4,6.25,3.5,3.75,6.75
water,5,3,5.25,5,6
water,6,4,4,4.25,10.75
water,7,5.5,3.5,9.75,3.5
water,8,8,3.5,5.75,3
water,9,10,4,7,5.75
water,10,16,3.25,11,3.75
neemoil,1,7.25,4,2.25,9.25
neemoil,2,12.75,6.75,7,5.25
neemoil,3,14.25,3.25,9,8.25
neemoil,4,12.25,6,8.5,7.5
neemoil,5,5.5,8,2.5,4.25
neemoil,6,14.75,5.25,9.5,7.25
neemoil,7,3.25,4.75,5,5.5
neemoil,8,4.75,3,6.75,9.75
neemoil,9,5.25,2.75,4.5,12
neemoil,10,5.25,4.75,6.25,7.25
biocontrol,1,2.25,7.25,5.5,3
biocontrol,2,6.5,8.75,4.5,7
biocontrol,3,4.5,7,6.25,4
biocontrol,4,3,5.75,5,5
biocontrol,5,3.5,5,5.75,3
biocontrol,6,3.25,2.25,5.5,2
biocontrol,7,6,4,6.5,5
biocontrol,8,2.5,5,5,5
biocontrol,9,3.5,4.25,3.75,4
biocontrol,10,2.25,3.25,4.25,2
control,1,3.75,2.5,1.25,3
control,2,2.75,3.5,3.25,4
control,3,4.25,1.25,2.75,4
control,4,4.5,4,1.5,5
control,5,2,0.5,2,4
control,6,1,2,4.25,2
control,7,3.75,4.25,4.5,3
control,8,6.25,4,4.5,5
control,9,2.75,3,4.5,7
control,10,3.75,4.5,9.25,7
